detention_facility_code,detention_facility,address,state,aor,type,operator,note
RVBHHTX,RIO VISTA BEHV HLTH HSP,,,,,,
SAUKCWI,SAUK COUNTY SHERIFF,,,,,,
SCOTTIA,SCOTT COUNTY JAIL,,,,,,
SSHNHNY,SOUTHSIDE HOSP NORTHWELL HLTH,,,,,,
SPRHONY,SPRING VALLEY HOSPITAL,,,,,,
STGENMO,STE. GENEVIEVE COUNTY SHERIFF/JAIL,,,,,,
SNTRHNY,SUNRISE HOSPITAL,,,,,,
SUWANFL,SUWANNEE COUNTY JAIL,,,,,,
TBRJLME,TWO BRIDGES REGIONAL JAIL,,,,,,
THHEBTX,TX HEALTH METH HOSP HEB,,,,,,
UMASSMA,UMASS MEMORIAL MEDICAL CENTER,,,,,,
UPSLSIA,UNITYPOINT HLTH ST LUKES HOSP SXC,,,,,,
UNMEDMD,UNIV OF MARYLAND MEDICAL CENTER,,,,,,
VCUHOVA,VCU HEALTH TAPPAHANNOCK HOSPITAL,,,,,,
WALTNFL,WALTON COUNTY D.O.C.,,,,,,
WLTSOFL,WALTON COUNTY JAIL,,,,,,
